ID,ISSUE,PROPLetter,PROPTitle,Month,Day,Year,Date,Description,PASS_FAIL,Vote_Counts_Yes,Vote_Counts_No,Percent_Vote_Yes,Percent_Vote_No,Percent_Required_To_Pass,Kind,HowPlaced,Fullimage,
718,,F,"Sewer Bonds $12,645,000",June,8,1954,"Jun 8, 1954","To incur a bonded indebtedness of $12,645,000 for the acquisition, construction and completion of buildings, lands, structures and all other works, necessary for sewage collection and disposal.",F,109375,54504,66.7,33.3,66.67%,Bond Issue,Supervisors,June8_1954,
719,,A,"Exhibit Hall Bonds $3,275,000",November,2,1954,"Nov 2, 1954","To incur a bonded indebtedness of $3,275,000 for the acquisition, construction and completion of an exhibit hall, including the relocation of utilities.",P,170370,55084,75.5,24.5,66.67%,Bond Issue,Supervisors,November2_1954,
720,,B,"Recreation Center Bonds $5,000,000",November,2,1954,"Nov 2, 1954","To incur a bonded indebtedness of $5,000,000 for the acquisition, construction and completion of buildings, lands and other works and properties to be used for baseball, football, other sports, dramatic productions and other lawful uses as a recreation center.",P,162481,62325,72.2,27.8,66.67%,Bond Issue,Supervisors,November2_1954,
721,,C,"San Francisco Hospital Bonds $5,830,000",November,2,1954,"Nov 2, 1954","To incur a bonded indebtedness of $5,830,000 for the acquisition, construction and completion of buildings, lands, roadways, parking areas, utilities, and all other works necessary for the improvement of the San Francisco Hospital.",P,185862,40580,82,18,66.67%,Bond Issue,Supervisors,November2_1954,
722,,D,"Laguna Home and Hospital Bonds $5,475,000",November,2,1954,"Nov 2, 1954","To incur a bonded indebtedness of $5,475,000 for the acquisition, construction and completion of buildings, lands, structures, and all other works necessary for additions to and rehabilitation of Laguna Honda Home and Hospital.",P,185142,44315,80.6,19.4,66.67%,Bond Issue,Supervisors,November2_1954,
723,,E,Civil Service Examinations for Qualified Blind Persons,November,2,1954,"Nov 2, 1954",To encourage the hiring of qualified blind persons in city service on equal opportunity with sighted persons; to reclassify positions; to conduct examinations and appointments accordingly.,P,178158,37705,82.5,17.5,50%+1,Charter Amendment,Supervisors,November2_1954,
724,,F,"Salaries, Bonds and Meetings; Board of Supervisors",November,2,1954,"Nov 2, 1954",To fix the salaries and bonds of members of the Board of Supervisors and the number of Board meetings.,F,96089,112762,46,54,50%+1,Charter Amendment,Supervisors,November2_1954,
725,,G,Chief Administrative Officer; Appointment and Removal,November,2,1954,"Nov 2, 1954","To require confirmation by the Board of Supervisors of the appointment of the Chief Administrative Officer; to delete prior residence requirement; to provide removal, suspension and other procedures.",F,67823,129667,34.3,34.3,50%+1,Charter Amendment,Supervisors,November2_1954,
726,,H,Retirement and Disability Benefits; Ambulance Drivers and Stewards,November,2,1954,"Nov 2, 1954",Relating to disability benefits and retirement and death allowances of ambulance drivers and stewards in Emergency Hospital Service incapacitated by service connected bodily injury or illness.,F,87545,122963,41.5,58.5,50%+1,Charter Amendment,Supervisors,November2_1954,
727,,I,Retirement and Disability Benefits; Sheriff's Deputies,November,2,1954,"Nov 2, 1954",Relating to disability benefits and retirement and death allowances of certain employees of the Sheriff's Office incapacitated by service connected bodily injury or illness.,F,80614,127244,38.7,61.3,50%+1,Charter Amendment,Supervisors,November2_1954,
728,,J,Cable Car Initiative Petition,November,2,1954,"Nov 2, 1954","To require maintenance and operation of all cable car lines existing January 1, 1954; to require electors' approval of sale, lease, abandonment or curtailment of lines.",F,86393,131761,39.6,60.4,50%+1,Charter Amendment,Supervisors,November2_1954,
729,,A,"Power Bonds, Hetch Hetchy $54,000,000",November,8,1955,"Nov 8, 1955","To incur a bonded indebtedness of $54,000,000 for the acquisition, construction and completion of two power plants and other works and properties on the Hetch Hetchy Project.",P,184375,35231,83.9,16.1,66.67%,Bond Issue,Supervisors,November8_1955,
730,,B,"Courthouse Bonds $13,000,000",November,8,1955,"Nov 8, 1955","To incur a bonded indebtedness of $13,000,000 for the construction of a courthouse, with garage space and all facilities necessary therefor, at or near the Civic Center.",F,137851,80176,63.2,36.8,66.67%,Bond Issue,Supervisors,November8_1955,
731,,C,"Playgrounds and Recreation Centers Bonds $7,000,000",November,8,1955,"Nov 8, 1955","To incur a bonded indebtedness of $7,000,000 for the acquisition of new and rehabilitation of existing playgrounds and recreation centers within the City.",P,157219,60550,72.1,27.9,66.67%,Bond Issue,Supervisors,November8_1955,
732,,D,"Off-Street Parking Bonds $11,000,000",November,8,1955,"Nov 8, 1955","To incur a bonded indebtedness of $54,000,000 for the acquisition, construction and completion of off-street parking facilities within San Francisco and all other works necessary therefor.",F,107124,102119,51.1,48.9,66.67%,Bond Issue,Supervisors,November8_1955,
733,,E,Confidential Secretaries; City Attorney and Public Defender,November,8,1955,"Nov 8, 1955",To provide that the City Attorney and the Public Defender each have the power to appoint a confidential secretary.,F,101291,101472,49.9,50.1,50%+1,Charter Amendment,Supervisors,November8_1955,
734,,F,Officers' Absence from State,November,8,1955,"Nov 8, 1955",To allow city and county officers to be absent from the state for a period not to exceed 21 days without permission of the Mayor and the Board of Supervisors,F,69004,133895,34,66,50%+1,Charter Amendment,Supervisors,November8_1955,
735,,G,Effective Date of Ordinances,November,8,1955,"Nov 8, 1955",To provide that ordinances not subject to referendum provisions of the charter become effective upon passage.,P,118092,73293,61.7,38.3,50%+1,Charter Amendment,Supervisors,November8_1955,
736,,H,Duties of Registrar of Voters,November,8,1955,"Nov 8, 1955","Relating to the duties of the Registrar of Voters, municipal and special elections, and elective officers.",F,69036,124099,35.7,64.3,50%+1,Charter Amendment,Supervisors,November8_1955,
737,,I,Powers Vested in Board of Supervisors,November,8,1955,"Nov 8, 1955",Relating to the canvassing of voters by the Board of Supervisors and to establish a night university.,P,112313,79132,58.6,41.4,50%+1,Charter Amendment,Supervisors,November8_1955,
738,,J,Retirement and Death Allowances; Police Department,November,8,1955,"Nov 8, 1955",To increase future monthly retirement and death allowance payments granted to or on account of certain retired or deceased members of the Police Department by $25.00.,P,120643,83966,58.9,41.1,50%+1,Charter Amendment,Supervisors,November8_1955,
739,,K,Retirement Allowances; Miscellaneous Employees,November,8,1955,"Nov 8, 1955","To increase future monthly retirement allowance payments of employees who retired under Charter section 165 before July 1, 1952 after 20 years of service by $25.00, and by proportionately less after less years of service.",P,122804,80799,60.3,39.7,50%+1,Charter Amendment,Supervisors,November8_1955,
740,,L,Uniform Allowances; Fire and Police Department,November,8,1955,"Nov 8, 1955","To provide for an annual uniform allowance of $150.00 for members of the several ranks of the Police and Fire Departments, respectively.",F,93714,114233,45,55,50%+1,Charter Amendment,Supervisors,November8_1955,
741,,M,Tours of Duty and Ranks in Fire Department,November,8,1955,"Nov 8, 1955","For fixing and redefining tours of duty and maximum consecutive hours of work for officers and members, and for redefining the several ranks in the Fire Department.",P,123738,75627,62,38,50%+1,Charter Amendment,Supervisors,November8_1955,
742,,N,Hours and Days of Work; Rates of Pay; Municipal Railway (MUNI),November,8,1955,"Nov 8, 1955","To fix basic hours and days of work and to provide a method of fixing rates of pay for platform employees, coach and bus operators of the Municipal Railway (MUNI).",F,83680,130470,39,61,50%+1,Charter Amendment,Supervisors,November8_1955,
743,,A,"Hall of Justice Bonds $19,475,000",June,5,1956,"Jun 5, 1956","To incur a bonded indebtedness of $19,475,000 for the acquisition, construction and completion of a hall of justice, including lands, properties and all other works necessary within the City.",P,121321,56790,68.1,31.9,66.67%,Bond Issue,Supervisors,June5_1956,
744,,B,Membership in Health Service System,June,5,1956,"Jun 5, 1956",For provision of participation in the benefits of the Health Service System.,P,116663,46605,71.4,28.6,50%+1,Charter Amendment,Supervisors,June5_1956,
745,,C,Nominations of Elective Municipal Officers,June,5,1956,"Jun 5, 1956",Relating to the nomination of elective officers in municipal elections of San Francisco.,P,111774,44855,71.3,28.7,50%+1,Charter Amendment,Supervisors,June5_1956,
746,,D,Salary of Members of the Board of Supervisors,June,5,1956,"Jun 5, 1956",To fix the salaries of the members of the Board of Supervisors.,P,96069,69469,58,42,50%+1,Charter Amendment,Supervisors,June5_1956,
747,,E,Prohibited Practices of Officers and Employees,June,5,1956,"Jun 5, 1956",Relating to prohibited practices of officers and employees of the City and County of San Francisco.,P,109928,50785,68.4,31.6,50%+1,Charter Amendment,Supervisors,June5_1956,
748,,F,Relinquishment of certain Retirement Allowances,June,8,1956,"Jun 5, 1956",To authorize relinquishment of retirement allowance rights in the Retirement System by retired persons with retirement status in the State Teachers Retirement System and to provide related procedures.,P,120492,42299,74,26,50%+1,Charter Amendment,Supervisors,June5_1956,
749,,A,"School Bonds $27,000,000",November,6,1956,"Nov 6, 1956","To incur a bonded indebtedness of $27,000,000 for the acquisition, construction and completion of buildings, lands, structures, and reconstruction and replacement of existing schools, and all other works necessary for school purposes within San Francisco.",P,238331,41814,85,15,66.67%,Bond Issue,Supervisors,November6_1956,
750,,B,"Airport Bonds $25,000,000",November,6,1956,"Nov 6, 1956","To incur a bonded indebtedness of $25,000,000 for the acquisition, construction, completion and improvement of San Francisco Airport in San Mateo County.",P,220433,53326,73.2,26.8,66.67%,Bond Issue,Supervisors,November6_1956,
751,,C,Contingent Fund of the Chief of Police,November,6,1956,"Nov 6, 1956","To increase the amount to $25,000 that Board of Supervisors may appropriate annually for expenditure by the Chief of Police for investigation and detection of crime.",P,180833,78159,69.2,30.2,50%+1,Charter Amendment,Supervisors,November6_1956,
752,,D,Retirement Allowances; Retired Officers and Employees,November,6,1956,"Nov 6, 1956","To increase future monthly retirement allowance payments of employees who retired under Charter section 165 before July 2, 1952 after 20 years of service by $25.00, and by proportionately less after less years of service.",P,148143,117906,55.6,44.4,50%+1,Charter Amendment,Supervisors,November6_1956,
753,,E,Residence Requirements; Wages and Hours; Municipal Railway (MUNI) Employees,November,6,1956,"Nov 6, 1956","To reduce hours of employment of, waive residence requirement for applicants as, and establish hourly rate for platform employees and bus operators of the Municipal Railway (MUNI).",P,190777,74742,71.8,44.4,50%+1,Charter Amendment,Supervisors,November6_1956,
754,,F,Retirement and Death Benefit Provisions; Members of the Fire Department,November,6,1956,"Nov 6, 1956",To provide pensions for widows of retired members of the Fire Department and adjust and change pensions and death benefits of retired firemen.,P,149122,108240,57.9,42.1,50%+1,Charter Amendment,Supervisors,November6_1956,
755,,G,Appropriations for Utilities,November,6,1956,"Nov 6, 1956","To provide that any utility budget where expenditures exceed estimated revenues, a sum not to exceed 3/4 of a cent on each $100 valuation of property, may be included for capital costs.",P,145507,95610,60.3,39.7,50%+1,Charter Amendment,Supervisors,November6_1956,
756,,H,Appointment of Inspectors and assistant inspectors in the Police Department,November,6,1956,"Nov 6, 1956","To provide for the appointment of inspectors and assistant inspectors in Juvenile Bureau, Accident Prevention Bureau, Bureau of Special Services and the Intelligence Unit of the Police Department.",P,174214,76821,69.3,30.7,50%+1,Charter Amendment,Supervisors,November6_1956,
757,,A,"Courthouse and City Hall Alterations Bonds $22,150,000",November,5,1957,"Nov 5, 1957","To incur a bonded indebtedness of $22,150,000 for the construction of a courthouse, with garage space and all facilities necessary at or near the Civic Center and for alterations, additions and improvements to the existing City Hall.",F,122665,70327,63.5,36.5,66.67%,Bond Issue,Supervisors,November5_1957,
758,,B,Confidential Secretaries; City Attorney and Public Defender,November,5,1957,"Nov 5, 1957","To authorize the City Attorney and the Public Defender to appoint a confidential secretary, when position is created by the Board of Supervisors.",P,105282,79713,56.9,43.1,50%+1,Charter Amendment,Supervisors,November5_1957,
759,,C,Copying of Civil Service Examination Papers,November,5,1957,"Nov 5, 1957","Deleting Charter provisions permitting members of the public to copy civil service examination papers, questions, answers, marks or grades.",F,82761,99596,45.3,54.7,50%+1,Charter Amendment,Supervisors,November5_1957,
760,,D,Residence Requirements; Non-elective officers and employees,November,5,1957,"Nov 5, 1957","Eliminate residence requirements for non-elective officers and employees, with certain exceptions, and authorize the Board of Supervisors to provide by ordinance for such residence requirements.",P,100721,79265,55.9,44.1,50%+1,Charter Amendment,Supervisors,November5_1957,
761,,E,Retired Employees serving as Expert Witnesses,November,5,1957,"Nov 5, 1957",To allow retired employees to be compensated for service as expert witnesses for or on behalf of the city and county.,P,121815,60030,66.9,33.1,50%+1,Charter Amendment,Supervisors,November5_1957,
762,,F,Retirement System; Retired Employees retired under the State Teachers Retirement System,November,5,1957,"Nov 5, 1957","Where employees of the School District elect to withdraw from the City Retirement System and retire under the State Teachers Retirement System, the district contributions shall be reduced by an amount equal to the actuarial equivalent of the member's entitlement.",P,128396,50870,71.6,28.4,50%+1,Charter Amendment,Supervisors,November5_1957,
763,,G,Part-Time Non-Civil Service Employees,November,5,1957,"Nov 5, 1957","To allow employment of non-civil service employees in part-time positions, compensation not to exceed $125.00 per month; protect present part-time civil service incumbents.",P,123495,56784,68.5,31.5,50%+1,Charter Amendment,Supervisors,November5_1957,
764,,H,Appeals from the Planning Commission,November,5,1957,"Nov 5, 1957","To allow Board of Supervisors to exempt property owned by the city and county, the state or federal government from computation of the amount of signatures of property owners required for an appeal from the Planning Commission.",P,101062,71043,58.7,41.3,50%+1,Charter Amendment,Supervisors,November5_1957,
765,,I,Compensation of members of the Police Department,November,5,1957,"Nov 5, 1957",To amend methods of establishing compensation for members of the Police Department and rate of pay to members assigned two-wheel motorcycle traffic duty.,P,93532,86175,52,48,50%+1,Charter Amendment,Supervisors,November5_1957,
766,,J,Retirement and Death Allowances; Fire Department,November,5,1957,"Nov 5, 1957",To amend retirement and death allowances for members and dependents of the Fire Department and qualification requirements.,F,63974,120830,34.6,65.4,50%+1,Charter Amendment,Supervisors,November5_1957,
767,,K,Health Services System,November,5,1957,"Nov 5, 1957",To establish the Health Service System as a department of the city and county; to provide for city and School District contributions and membership; to provide for the constitution of the board and benefits.,P,105922,75523,58.3,41.7,50%+1,Charter Amendment,Supervisors,November5_1957,
768,,L,Retirement and Death Allowances; Police Department,November,5,1957,"Nov 5, 1957",Retirement and Death Allowances for members and dependents of members of Police Department; Retired members' right to be gainfully employed after age 55.,F,55883,125986,30.7,69.3,50%+1,Charter Amendment,Supervisors,November5_1957,
769,,M,Retirement Allowances; Retired or Deceased members of Police Department,November,5,1957,"Nov 5, 1957",To increase future monthly retirement allowance payments granted to or on account of retired or deceased members of Police Department by $25.00.,F,54362,128275,29.7,70.3,50%+1,Charter Amendment,Supervisors,November5_1957,
770,,N,Contributions and Expenditures in Election Campaigns,November,5,1957,"Nov 5, 1957",To require public reports of contributions and expenditures made for purpose of influencing electors as to candidates for public office; prohibits solicitation from candidates and provides penalties.,F,68724,108369,38.8,61.2,50%+1,Ordinance,Supervisors,November5_1957,
771,,A,School District Tax,June,3,1958,"Jun 3, 1958",Shall the maximum tax rate of San Francisco Unified School District be increased from $2.00 to $2.50 per $100.00 of assessed valuation?,P,141520,61088,69.8,30.2,50%+1,School District Tax,Supervisors,June3_1958,
772,,B,"Recreation and Park Bonds (Steinhart Aquarium) $1,575,000",June,3,1958,"Jun 3, 1958","To incur a bonded indebtedness of $1,575,000 for the improvement and reconstruction of Steinhart Aquarium in Golden Gate Park.",P,141728,56068,71.6,28.4,66.67%,Bond Issue,Supervisors,June3_1958,
773,,C,Narcotics Enforcement Fund,June,3,1958,"Jun 3, 1958","To authorize the Board of Supervisors to appropriate, and the Chief of Police to expend, funds not to exceed $25,000 in a fiscal year, for narcotic enforcement.",P,136075,56284,70.7,29.3,50%+1,Charter Amendment,Supervisors,June3_1958,
774,,D,Collection of Local Sales and Use Taxes,June,3,1958,"Jun 3, 1958",To authorize the Board of Supervisors to enact ordinances and execute agreements to provide for the State collection of uniform local sales and use taxes.,P,146566,44559,76.6,23.4,50%+1,Charter Amendment,Supervisors,June3_1958,
775,,E,Titles and Compensation of Police Department Positions,June,3,1958,"Jun 3, 1958",To provide for the creation and retitling of ranks in the Police Department and the method of setting rates of compensation thereof.,F,81022,104727,43.6,56.4,50%+1,Charter Amendment,Supervisors,June3_1958,
776,,F,Rates of Compensation of Chief and Deputy Chief of Fire Department,June,3,1958,"Jun 3, 1958",To fix the rates of compensation of the Chief and Deputy Chief of the Fire Department.,F,84943,101599,45.5,55.5,50%+1,Charter Amendment,Supervisors,June3_1958,
777,,A,"Courthouse and Alterations of City Hall Bonds $22,150,000",November,4,1958,"Nov 4, 1958","To incur a bonded indebtedness of $22,150,000 for the construction of a courthouse, with garage space and all facilities necessary at or near the Civic Center and for alterations, additions and improvements to the existing City Hall.",F,164820,99697,62.3,37.7,66.67%,Bond Issue,Supervisors,November4_1958,
778,,B,"Palace of Fine Arts Bonds $3,600,000",November,4,1958,"Nov 4, 1958","To incur a bonded indebtedness of $3,600,000 for the construction of the Palace of Fine Arts.",F,157110,110796,58.6,41.4,66.67%,Bond Issue,Supervisors,November4_1958,
779,,C,"Ferry Park Bonds $2,785,000",November,4,1958,"Nov 4, 1958","To incur a bonded indebtedness of $2,785,000 for a public park adjacent to the Embarcadero and near the Ferry Building.",F,163891,98710,62.4,37.6,66.67%,Bond Issue,Supervisors,November4_1958,
780,,D,"Civic Center Auditorium Bonds $7,225,000",November,4,1958,"Nov 4, 1958","To incur a bonded indebtedness of $7,225,000 for the alterations, additions and improvements to the Civic Center Auditorium.",F,166887,92059,64.4,35.6,66.67%,Bond Issue,Supervisors,November4_1958,
781,,E,"Department of Electricity Maintenance Yard Bonds $1,500,000",November,4,1958,"Nov 4, 1958","To incur a bonded indebtedness of $1,500,000 for the construction of a Maintenance Yard for the Department of Electricity.",F,142017,107457,56.9,43.1,66.67%,Bond Issue,Supervisors,November4_1958,
782,,F,"Department of Public Works Maintenance Yard Bonds $1,300,000",November,4,1958,"Nov 4, 1958","To incur a bonded indebtedness of $1,300,000 for improvement of the Maintenance Yard for the Department of Public Works.",F,142966,104830,57.6,42.4,66.67%,Bond Issue,Supervisors,November4_1958,
783,,G,Appointment of Director of Strybing Arboretum and Botanical Gardens,November,4,1958,"Nov 4, 1958","To provide for the appointment, removal and qualifications of the Director of Strybing Arboretum and Botanical Gardens.",P,134973,107555,55.6,44.4,50%+1,Charter Amendment,Supervisors,November4_1958,
784,,H,Compensation of Retired Members of Police and Fire Department for Services as Expert Witnesses,November,4,1958,"Nov 4, 1958",To provide that the City may compensate retired members of the Police and Fire Departments for services for or on the behalf of the City and County as expert witnesses.,P,125944,120519,51.1,48.9,50%+1,Charter Amendment,Supervisors,November4_1958,
785,,I,Transfer of Traffic Engineering Duties to the Department of Public Works,November,4,1958,"Nov 4, 1958",To transfer Traffic Engineering and all its duties from the Police Department to the Department of Public Works.,P,157244,82856,65.4,34.6,50%+1,Charter Amendment,Supervisors,November4_1958,
786,,J,Adjustments to Retirement Allowances,November,4,1958,"Nov 4, 1958",To provide for adjustments in retirement allowances of persons retired based on future changes in compensation earnable for the position held by retired person at retirement.,F,104711,140391,42.7,57.3,50%+1,Charter Amendment,Supervisors,November4_1958,
787,,K,"Paid Holidays for Platform Employees, Coach and Bus Operators",November,4,1958,"Nov 4, 1958","To provide that platform employees, coach and bus operators of the Municipal Railway (MUNI) be paid for legal holidays; specifies holidays and provides method of payment.",P,153416,97713,61,39,50%+1,Charter Amendment,Supervisors,November4_1958,
788,,L,Procedure in Leasing Water Department and Airport Lands,November,4,1958,"Nov 4, 1958","To provide for the procedure in leasing Water Department and Airport lands; to grant exclusive authority for said leases to Public Utilities Commission, except for where referendum is required.",P,144516,88539,62,38,50%+1,Charter Amendment,Supervisors,November4_1958,
789,,M,Terms of Leases of City Property,November,4,1958,"Nov 4, 1958","To provide that the Board of Supervisors, by ordinance, subject to referendum, may provide for longer lease terms than those already established.",P,114120,113284,50.1,49.9,50%+1,Charter Amendment,Supervisors,November4_1958,
790,,N,Social Security Coverage for Employees,November,4,1958,"Nov 4, 1958","To prescribe conditions by which social security coverage may be extended to San Francisco Unified School District and City and County employees, other than police and fire employees.",P,167852,77591,68.3,31.7,50%+1,Charter Amendment,Supervisors,November4_1958,
791,,O,Retirement and Survivor Benefits; Police Department members,November,4,1958,"Nov 4, 1958","Relating to retirement benefits and contributions of members of the Police Department, and survivor benefits of dependents of deceased members of the Police Department.",F,93456,155701,37.5,62.5,50%+1,Charter Amendment,Supervisors,November4_1958,
792,,P,Retirement and Survivor Benefits; Fire Department members,November,4,1958,"Nov 4, 1958","Relating to retirement benefits of retired members of the Fire Department, and survivor benefits of dependents of deceased members of the Fire Department.",F,86417,166057,34.2,65.8,50%+1,Charter Amendment,Supervisors,November4_1958,
793,,A,"Civic Center Auditorium Improvement Bonds $7,575,000",November,3,1959,"Nov 3, 1959","To incur a bonded indebtedness of $7,575,000 for the alteration and remodeling of the Civic Center Auditorium.",P,155436,65114,70.4,29.6,66.67%,Bond Issue,Supervisors,November3_1959,
794,,B,"Ferry Park Bonds $2,970,000",November,3,1959,"Nov 3, 1959","To incur a bonded indebtedness of $2,970,000 for the acquisition of lands and improvements thereon and construction of a park and recreation facilities at the Embarcadero near the Ferry Building.",F,142630,74755,65.6,34.4,66.67%,Bond Issue,Supervisors,November3_1959,
795,,C,"Palace of Fine Arts Bonds $1,800,000",November,3,1959,"Nov 3, 1959","To incur a bonded indebtedness of $1,800,000 for the reconstruction of the Palace of Fine Arts.",P,156052,65556,70.4,29.6,66.67%,Bond Issue,Supervisors,November3_1959,
796,,D,Art Commission,November,3,1959,"Nov 3, 1959",To provide that six (6) members shall constitute a quorum for transacting official business of the Art Commission.,P,136011,62270,68.5,31.5,50%+1,Charter Amendment,Supervisors,November3_1959,
797,,E,Claims for Money or Damages Against the City,November,3,1959,"Nov 3, 1959",To provide that claims for money or damages against the City shall be filed in accordance with provisions of general law of state.,P,146793,51317,74,26,50%+1,Charter Amendment,Supervisors,November3_1959,
798,,F,Salary of Attorney Appointed by the Public Administrator,November,3,1959,"Nov 3, 1959",To provide that salary standardization provisions of the charter shall apply to an attorney appointed by the Public Administrator.,P,133092,61465,68.4,31.6,50%+1,Charter Amendment,Supervisors,November3_1959,
799,,G,Defining Remote Interests,November,3,1959,"Nov 3, 1959","To provide that the interest of members of boards or commissions in contracts, work or business with the City prohibited by the charter does not include remote interests; defines remote interests.",P,125368,66264,65.4,34.6,50%+1,Charter Amendment,Supervisors,November3_1959,
800,,H,Property of Industries Displaced by a Redevelopment Plan,November,3,1959,"Nov 3, 1959","To amend the Charter relating to the purchase, lease or exchange by the City of real property to relocate food processing industries displaced as a result of redevelopment; to provide for the sale, lease or exchange for said purpose with or without bid.",P,137981,57189,70.6,29.4,50%+1,Charter Amendment,Supervisors,November3_1959,
801,,I,Employees Annual Vacation,November,3,1959,"Nov 3, 1959","To provide for partial accumulation, pro-rata payment and method of charging vacation days against work days.",P,131227,65140,66.8,33.2,50%+1,Charter Amendment,Supervisors,November3_1959,
802,,J,"Retirement Benefits of Operating Engineers, Fire Department",November,3,1959,"Nov 3, 1959","To provide that operating engineers employed on July 1, 1960 and all subsequently employed operating engineers who meet age requirements of the Fire Department, be deemed members of the Fire Department for retirement purposes.",F,69673,131422,34.6,65.4,50%+1,Charter Amendment,Supervisors,November3_1959,
803,,A,"M. H. de Young Museum Bonds $2,725,000",June,7,1960,"Jun 7, 1960","To incur a bonded indebtedness of $2,725,000 for the construction, reconstruction and enlargement of the De Young Museum in Golden Gate Park.",P,140772,57490,71,29,66.67%,Bond Issue,Supervisors,June7_1960,
804,,B,Health Service System,June,7,1960,"Jun 7, 1960",To repeal the Retirement Board's duty to review health service system service rates of compensation and proposed contracts for said service.,P,121794,58389,67.5,32.5,50%+1,Charter Amendment,Supervisors,June7_1960,
805,,C,Inspection of Civil Service Examination Papers,June,7,1960,"Jun 7, 1960",To provide a method of reviewing answers and questions of civil service examinations by participants and inspection of papers by the public; to restrict copying.,P,139864,43792,76.1,23.9,50%+1,Charter Amendment,Supervisors,June7_1960,
806,,D,Retired Persons,June,7,1960,"Jun 7, 1960",To provide for increases or decreases based upon changes in maximum allowance of Federal Old Age Insurance benefit payment for retired persons.,F,73729,108555,40.4,59.6,50%+1,Charter Amendment,Supervisors,June7_1960,
807,,E,Health Department,June,7,1960,"Jun 7, 1960","To provide a method for appointing to exempt position an Assistant Director of Public Health, Hospital Services; to specify qualifications.",P,118187,61677,65.7,34.3,50%+1,Charter Amendment,Supervisors,June7_1960,
808,,F,Refuse Disposal and Collection,June,7,1960,"Jun 7, 1960","Makes rates for disposal of garbage subject to San Francisco Rate Board; Redefines refuse; makes no change to existing rates. Amends the voter approved Initiative Ordinance, ""Refuse Disposal and Collection Ordinance"" adopted November 8, 1932.",P,136884,48729,73.7,26.3,50%+1,Ordinance,Supervisors,June7_1960,
809,,A,"Sewer Bonds $12,500,000",November,8,1960,"Nov 8, 1960","To incur a bonded indebtedness of $12,500,000 for the acquisition, construction and completion of buildings, lands, structures and all other works, necessary for sewage collection and disposal.",P,195217,77322,71.6,28.4,66.67%,Bond Issue,Supervisors,November8_1960,
810,,B,Terms of the Office of Mayor,November,8,1960,"Nov 8, 1960",Eliminates the limitation of two successive terms for any one person to serve as Mayor.,F,116012,149622,43.6,56.4,50%+1,Charter Amendment,Supervisors,November8_1960,
811,,C,Preservation of Local Government in the Event of a Disaster,November,8,1960,"Nov 8, 1960",To provide for a method of succession in the event of disaster for office of Mayor; to grant the Board of Supervisors powers conferred by State law pertaining to preservation of local government.,P,174398,85402,67.1,32.9,50%+1,Charter Amendment,Supervisors,November8_1960,
812,,D,Periodic Adjustment of Retirement allowances,November,8,1960,"Nov 8, 1960",To provide for periodic adjustment in retirement allowance in direct proportion to changes in the earnable salaries of Miscellaneous Employees of the Retirement System.,F,103030,161991,38.8,61.2,50%+1,Charter Amendment,Supervisors,November8_1960,
813,,E,Appointment of Assistant Librarian by Library Commission,November,8,1960,"Nov 8, 1960",To provide for the appointment by the Library Commission of an Assistant Librarian to serve at its pleasure.,F,122090,133328,47.8,52.2,50%+1,Charter Amendment,Supervisors,November8_1960,
814,,F,Engineering Functions of Recreation and Park Department,November,8,1960,"Nov 8, 1960",To transfer engineering functions and personnel of the Recreation and Park Department to the Public Works Department.,P,191889,61160,75.8,24.2,50%+1,Charter Amendment,Supervisors,November8_1960,
815,,G,Adjustments to Retirement Allowances,November,8,1960,"Nov 8, 1960","To provide a percentage increase in that part of the retirement allowance which does not exceed $200.00 per month of persons who retired prior to July 1, 1959.",F,116108,145210,44.4,55.6,50%+1,Charter Amendment,Supervisors,November8_1960,
816,,H,Water Department Properties at Pleasanton,November,8,1960,"Nov 8, 1960","To authorize, subject to certain conditions, the sale of land, improvements and water rights, to the City of Pleasanton.",P,190246,62909,75.1,24.9,50%+1,Ordinance,Supervisors,November8_1960,
817,,A,"Municipal Water System Bonds $115,000,000",November,7,1961,"Nov 7, 1961","To incur a bonded indebtedness of $115,000,000 for the acquisition, construction and completion of transmission and distribution facilities, dams, reservoirs, and all other work, for the Municipal Water Supply System Improvements.",P,197566,17354,91.9,8.1,66.67%,Bond Issue,Supervisors,November7_1961,
818,,B,"Fort Funston Bonds $1,100,000",November,7,1961,"Nov 7, 1961","To incur a bonded indebtedness of $1,100,000 for the acquisition of approximately 116,394 acres of land, constituting part of Fort Funston, all structures thereon, and incidental expenses, for recreation and park purposes.",P,147807,56670,72.3,27.7,66.67%,Bond Issue,Supervisors,November7_1961,
819,,C,"Public Welfare Bonds $3,282,000",November,7,1961,"Nov 7, 1961","To incur a bonded indebtedness of $3,282,000 for the acquisition of land and construction of a building thereon, and equipment of same for the conduct and transaction of business of the Public Welfare Department.",F,127884,73546,63.5,36.5,66.67%,Bond Issue,Supervisors,November7_1961,
820,,D,Chief Administrative Officer appointment,November,7,1961,"Nov 7, 1961",To require that the appointment of the Chief Administrative Officer be subject to confirmation and approval of the Board of Supervisors.,P,154000,42884,78.2,21.8,50%+1,Charter Amendment,Supervisors,November7_1961,
821,,E,Library Commission reduce members to 7,November,7,1961,"Nov 7, 1961","To reduce the membership of the Library Commission from 11 (eleven) to 7 (seven), effective January 8, 1964.",P,160298,36714,81.4,18.6,50%+1,Charter Amendment,Supervisors,November7_1961,
