Ballot Measure Committee,Stance,Election,Ballot Measure,Consulting Firm,Services,Payment Received
,,,,Stearns COnsulting ,campaign consulting and media ,$0.00
,,,,Stearns COnsulting ,Campaign consulting and media,"$91,732.00"
,,,,Jon Golinger,management of petition drive,"$2,872.00"
,,,,Stearns COnsulting ,Campaign consulting and media,"$6,000.00"
"SAVE HETCH HETCHY, NO ON F, A COALITION OF BUSINESS, LABOR AND TAXPAYERS, WITH MAJOR FUNDING BY THE SAN FRANCISCO FOUNDATION, DIGNITY HEALTH, AND THE BAY AREA COUNCIL",No,11/06/12,F,,,
SAVE HETCH HETCHY,No,11/06/12,F,,,
"SAVE HETCH HETCHY, NO ON F",No,11/06/12,F,Hsieh & Associates,Asian American outreach and public relations advice,"$9,000.00"
CITIZENS FOR RELIABLE WATER AND A HEALTHY ENVIRONMENT,No,11/06/12,F,Whitney Clegg,Fundraising ,"$26,613.00"
,,,,SCN Strategies ,"Consulting, strategy & reimbursement for mail campaign","$206,674.00"
,,,,John Gavin,campaign management ,"$26,788.00"
,,,,SCN Strategies ,Campaign management and strategy,"$15,097.00"
,,,,John Gavin,campaign management,"$19,467.00"
N/A,,11/06/12,G,,,
